gender,nationality,place_of_birth,raisedhands,visited_resources,announcements_view,discussion,student_absence_days,Grade
M,KW,KuwaIT,15,16,2,20,Under-7,M
M,KW,KuwaIT,20,20,3,25,Under-7,M
M,KW,KuwaIT,10,7,0,30,Above-7,L
M,KW,KuwaIT,30,25,5,35,Above-7,L
M,KW,KuwaIT,40,50,12,50,Above-7,M
F,KW,KuwaIT,42,30,13,70,Above-7,M
M,KW,KuwaIT,35,12,0,17,Above-7,L
M,KW,KuwaIT,50,10,15,22,Under-7,M
F,KW,KuwaIT,12,21,16,50,Under-7,M
F,KW,KuwaIT,70,80,25,70,Under-7,M
M,KW,KuwaIT,50,88,30,80,Under-7,H
M,KW,KuwaIT,19,6,19,12,Under-7,M
M,KW,KuwaIT,5,1,0,11,Above-7,L
M,lebanon,lebanon,20,14,12,19,Above-7,L
F,KW,KuwaIT,62,70,44,60,Above-7,H
F,KW,KuwaIT,30,40,22,66,Under-7,M
M,KW,KuwaIT,36,30,20,80,Above-7,M
M,KW,KuwaIT,55,13,35,90,Above-7,M
F,KW,KuwaIT,69,15,36,96,Under-7,M
M,KW,KuwaIT,70,50,40,99,Under-7,H
F,KW,KuwaIT,60,60,33,90,Above-7,M
F,KW,KuwaIT,10,12,4,80,Under-7,M
M,KW,KuwaIT,15,21,2,90,Under-7,M
M,KW,KuwaIT,2,0,2,50,Above-7,L
M,KW,KuwaIT,0,2,3,70,Above-7,L
M,KW,KuwaIT,8,7,30,40,Above-7,L
M,KW,KuwaIT,19,19,25,40,Under-7,M
M,KW,KuwaIT,25,15,12,33,Above-7,L
M,KW,KuwaIT,75,85,52,43,Under-7,M
F,KW,KuwaIT,30,90,33,35,Under-7,M
F,KW,KuwaIT,35,80,50,70,Under-7,H
M,KW,KuwaIT,4,5,40,16,Above-7,L
F,KW,KuwaIT,2,19,10,50,Above-7,L
M,KW,KuwaIT,8,22,9,40,Above-7,L
M,KW,KuwaIT,12,11,8,40,Above-7,L
M,KW,KuwaIT,10,12,17,30,Above-7,L
M,KW,KuwaIT,8,6,4,22,Above-7,L
F,Egypt,Egypt,45,54,26,90,Under-7,M
M,KW,KuwaIT,0,0,0,4,Above-7,L
F,SaudiArabia,SaudiArabia,50,90,37,70,Under-7,M
F,KW,KuwaIT,14,13,3,70,Above-7,L
M,KW,KuwaIT,19,20,16,50,Under-7,M
M,KW,KuwaIT,10,12,7,33,Above-7,L
F,KW,KuwaIT,30,35,28,90,Under-7,M
F,KW,KuwaIT,33,33,30,90,Under-7,M
M,KW,KuwaIT,20,12,15,70,Above-7,L
M,KW,KuwaIT,7,10,1,30,Above-7,L
F,KW,KuwaIT,70,4,39,90,Under-7,H
F,KW,KuwaIT,13,80,40,88,Under-7,H
F,KW,KuwaIT,29,39,50,77,Under-7,M
F,KW,KuwaIT,20,14,12,70,Above-7,L
M,KW,KuwaIT,39,15,16,50,Above-7,L
F,KW,KuwaIT,55,90,16,40,Under-7,M
F,KW,KuwaIT,49,70,19,75,Under-7,H
M,KW,KuwaIT,12,50,8,30,Above-7,L
M,KW,KuwaIT,16,14,6,20,Above-7,L
M,USA,USA,19,5,4,1,Above-7,L
M,KW,KuwaIT,5,2,6,5,Above-7,L
M,KW,KuwaIT,28,60,19,50,Under-7,M
F,USA,USA,27,22,22,40,Under-7,M
F,Jordan,Jordan,21,10,28,20,Above-7,L
M,KW,KuwaIT,50,70,32,40,Under-7,M
M,venzuela,venzuela,80,90,70,80,Under-7,H
M,KW,KuwaIT,17,13,16,12,Under-7,M
M,KW,KuwaIT,0,5,7,2,Above-7,L
M,KW,KuwaIT,13,5,18,19,Above-7,L
F,KW,KuwaIT,25,10,19,30,Above-7,M
F,USA,USA,65,75,23,80,Under-7,H
F,USA,USA,70,69,35,30,Under-7,H
M,Jordan,Jordan,39,40,11,33,Under-7,M
M,Jordan,Jordan,22,30,10,12,Above-7,L
M,KW,KuwaIT,29,22,9,20,Under-7,M
M,KW,KuwaIT,11,2,2,8,Under-7,L
F,KW,KuwaIT,19,30,26,19,Above-7,M
M,KW,KuwaIT,12,0,6,13,Under-7,L
M,Jordan,Jordan,50,90,29,60,Under-7,M
M,Iran,Iran,15,70,37,44,Under-7,M
M,KW,KuwaIT,20,80,33,33,Under-7,M
M,KW,KuwaIT,13,3,11,9,Above-7,L
F,lebanon,lebanon,80,90,49,55,Under-7,H
M,KW,KuwaIT,8,15,10,40,Under-7,L
M,KW,KuwaIT,8,25,1,70,Above-7,L
M,KW,KuwaIT,7,5,2,80,Above-7,L
M,KW,KuwaIT,7,4,10,50,Above-7,M
M,KW,KuwaIT,50,70,50,10,Above-7,H
M,KW,KuwaIT,1,0,1,12,Above-7,L
M,SaudiArabia,SaudiArabia,70,12,40,50,Under-7,H
M,KW,KuwaIT,19,70,3,50,Under-7,L
F,KW,KuwaIT,3,12,4,33,Under-7,L
M,KW,KuwaIT,5,20,1,50,Above-7,L
M,KW,KuwaIT,4,8,10,60,Above-7,L
M,KW,KuwaIT,80,90,55,19,Under-7,H
F,KW,KuwaIT,50,70,19,15,Under-7,H
M,USA,USA,55,89,40,40,Under-7,H
F,KW,KuwaIT,80,44,35,10,Above-7,L
F,KW,KuwaIT,100,80,2,70,Under-7,H
F,KW,KuwaIT,14,60,11,75,Under-7,H
F,KW,KuwaIT,6,2,38,12,Under-7,M
F,KW,KuwaIT,10,3,0,30,Under-7,M
M,KW,KuwaIT,50,7,9,50,Above-7,M
M,KW,KuwaIT,50,90,40,90,Under-7,M
F,KW,KuwaIT,70,92,50,7,Under-7,H
F,KW,KuwaIT,2,6,2,8,Above-7,L
M,KW,KuwaIT,1,7,6,10,Above-7,L
M,KW,KuwaIT,0,12,3,3,Above-7,M
F,KW,KuwaIT,0,0,5,80,Above-7,L
F,KW,KuwaIT,12,26,7,40,Under-7,M
M,KW,KuwaIT,70,90,41,33,Under-7,H
M,SaudiArabia,SaudiArabia,7,12,5,3,Above-7,M
M,KW,KuwaIT,90,70,30,14,Under-7,M
F,Jordan,Jordan,70,88,55,40,Under-7,H
M,KW,KuwaIT,77,80,51,80,Under-7,M
M,KW,KuwaIT,2,5,3,50,Above-7,L
M,KW,KuwaIT,25,27,0,69,Above-7,L
M,KW,KuwaIT,11,2,0,50,Above-7,L
M,KW,KuwaIT,0,8,11,70,Above-7,L
F,KW,KuwaIT,77,80,12,19,Above-7,M
F,KW,KuwaIT,25,29,40,17,Under-7,H
F,KW,KuwaIT,24,35,23,22,Above-7,M
M,KW,KuwaIT,60,60,3,60,Under-7,M
M,KW,KuwaIT,21,12,0,50,Under-7,M
M,KW,KuwaIT,0,4,8,30,Above-7,L
F,KW,KuwaIT,66,90,55,12,Above-7,M
F,lebanon,lebanon,70,98,7,5,Under-7,M
M,KW,KuwaIT,0,6,4,15,Under-7,L
M,KW,KuwaIT,12,30,0,17,Above-7,L
F,Iran,Iran,2,9,7,55,Under-7,M
M,KW,KuwaIT,55,33,6,9,Above-7,L
M,KW,KuwaIT,12,10,20,16,Under-7,L
M,KW,KuwaIT,70,90,2,2,Under-7,L
F,KW,KuwaIT,7,9,5,30,Above-7,L
M,Jordan,Jordan,80,42,20,50,Under-7,M
M,KW,KuwaIT,0,3,10,3,Above-7,L
M,KW,KuwaIT,12,60,0,70,Above-7,L
M,KW,KuwaIT,80,80,15,70,Under-7,H
F,Egypt,Egypt,70,80,95,70,Under-7,H
F,KW,USA,70,80,95,70,Under-7,H
F,KW,USA,60,80,50,40,Under-7,M
F,Jordan,Egypt,100,80,95,90,Under-7,H
M,Jordan,USA,100,85,85,70,Under-7,M
M,Tunis,Tunis,10,60,5,20,Above-7,L
M,Tunis,Tunis,19,65,50,10,Above-7,L
M,Tunis,Tunis,10,75,55,11,Under-7,M
M,KW,KuwaIT,80,90,55,19,Under-7,H
M,KW,KuwaIT,10,10,15,19,Above-7,L
M,Tunis,SaudiArabia,70,75,55,11,Under-7,M
F,lebanon,lebanon,100,75,50,70,Under-7,H
F,lebanon,lebanon,10,79,30,30,Under-7,M
F,Jordan,Jordan,60,55,30,40,Under-7,M
F,Jordan,lebanon,100,75,50,70,Under-7,H
M,SaudiArabia,SaudiArabia,80,80,51,59,Under-7,H
M,SaudiArabia,USA,23,63,71,89,Under-7,M
F,SaudiArabia,USA,100,91,98,40,Under-7,H
M,SaudiArabia,USA,10,51,40,40,Above-7,L
M,SaudiArabia,USA,70,50,33,41,Above-7,M
M,SaudiArabia,USA,70,58,73,91,Under-7,H
F,Tunis,USA,70,50,30,49,Under-7,M
M,Tunis,Tunis,70,50,33,40,Under-7,M
M,Tunis,KuwaIT,22,51,48,10,Above-7,L
F,KW,KuwaIT,62,68,48,80,Under-7,M
F,Jordan,Jordan,82,89,58,50,Under-7,H
M,Jordan,Jordan,72,80,58,66,Under-7,M
F,Jordan,Jordan,70,82,3,73,Under-7,H
F,Jordan,USA,60,82,93,43,Above-7,M
M,Jordan,Jordan,55,72,83,14,Above-7,M
F,Morocco,Morocco,72,65,73,66,Under-7,H
M,KW,KuwaIT,51,82,53,43,Under-7,M
M,Tunis,Tunis,80,92,83,43,Under-7,H
M,KW,KuwaIT,60,52,23,33,Under-7,H
M,KW,KuwaIT,30,12,29,23,Under-7,M
M,KW,KuwaIT,40,62,83,33,Under-7,H
M,KW,KuwaIT,60,52,23,33,Under-7,M
M,Iran,Iran,20,22,53,13,Above-7,L
M,Syria,Syria,20,52,23,33,Above-7,L
F,Jordan,Jordan,50,62,73,43,Above-7,M
M,Iran,Iran,10,2,13,53,Above-7,L
M,Tunis,Tunis,60,52,23,33,Under-7,H
F,USA,USA,15,52,83,11,Under-7,M
F,lebanon,lebanon,80,42,33,13,Under-7,H
M,lebanon,lebanon,40,51,20,33,Under-7,M
F,SaudiArabia,SaudiArabia,60,70,63,93,Under-7,H
M,Jordan,Jordan,50,62,13,33,Above-7,L
M,KW,KuwaIT,85,75,62,53,Under-7,H
F,lebanon,lebanon,25,15,32,53,Under-7,M
M,lebanon,lebanon,10,35,30,13,Above-7,L
M,lebanon,Jordan,87,65,82,33,Under-7,H
M,KW,KuwaIT,85,15,22,53,Under-7,M
F,KW,KuwaIT,80,71,52,51,Under-7,M
M,KW,KuwaIT,75,71,72,53,Under-7,H
F,KW,KuwaIT,85,66,12,23,Under-7,M
M,KW,KuwaIT,23,25,32,53,Under-7,L
M,KW,KuwaIT,15,25,37,13,Above-7,L
M,KW,KuwaIT,95,91,62,53,Under-7,M
M,Morocco,Morocco,81,75,62,53,Under-7,M
M,Morocco,Morocco,53,75,72,23,Under-7,M
M,KW,KuwaIT,15,43,42,33,Under-7,M
M,KW,KuwaIT,92,65,62,53,Under-7,H
M,KW,KuwaIT,83,75,62,53,Under-7,H
M,Morocco,Morocco,27,15,42,53,Above-7,L
M,KW,KuwaIT,45,95,12,13,Under-7,M
M,KW,KuwaIT,15,90,52,83,Under-7,H
F,lebanon,lebanon,45,58,52,43,Under-7,H
M,KW,KuwaIT,25,5,12,33,Under-7,M
F,KW,KuwaIT,22,51,42,40,Under-7,M
M,Jordan,Jordan,29,10,12,24,Above-7,L
F,SaudiArabia,SaudiArabia,72,51,42,24,Above-7,H
M,KW,KuwaIT,67,31,42,14,Under-7,M
M,KW,KuwaIT,17,21,42,14,Under-7,M
M,Tunis,Tunis,27,41,49,14,Under-7,M
M,KW,KuwaIT,70,81,39,84,Under-7,M
M,Jordan,SaudiArabia,27,90,82,14,Under-7,H
M,KW,KuwaIT,17,61,42,14,Under-7,M
M,Tunis,Tunis,87,81,42,19,Under-7,H
M,Tunis,Tunis,7,61,22,14,Above-7,L
M,KW,KuwaIT,17,50,2,4,Above-7,L
M,KW,KuwaIT,5,21,42,14,Above-7,L
M,Iran,Iran,27,41,32,61,Above-7,M
F,Jordan,KuwaIT,87,88,40,10,Under-7,M
M,KW,KuwaIT,96,61,42,94,Under-7,H
M,KW,KuwaIT,57,51,46,34,Under-7,M
M,lebanon,lebanon,77,69,41,13,Under-7,M
M,lebanon,lebanon,80,51,40,24,Under-7,M
M,KW,KuwaIT,62,61,82,40,Under-7,M
M,KW,KuwaIT,72,83,12,90,Under-7,H
M,KW,KuwaIT,87,81,22,70,Under-7,H
M,KW,KuwaIT,72,90,12,30,Under-7,M
M,KW,KuwaIT,2,11,62,30,Under-7,L
M,KW,KuwaIT,5,3,2,10,Under-7,L
M,KW,KuwaIT,73,84,77,81,Above-7,H
M,KW,KuwaIT,5,17,21,10,Above-7,L
M,Iran,Iran,51,42,12,29,Above-7,M
M,Syria,Jordan,9,7,21,20,Above-7,L
M,Syria,Syria,19,72,15,50,Above-7,M
F,Jordan,Jordan,32,80,58,46,Above-7,M
M,KW,KuwaIT,32,60,58,66,Above-7,M
M,KW,KuwaIT,12,8,18,26,Above-7,L
M,Jordan,Jordan,52,10,13,6,Above-7,L
M,KW,KuwaIT,72,80,58,66,Above-7,M
F,KW,KuwaIT,72,80,58,66,Above-7,M
M,Egypt,Egypt,92,80,88,76,Under-7,H
M,KW,KuwaIT,72,80,98,96,Under-7,H
M,Egypt,Egypt,72,80,58,86,Under-7,M
M,KW,KuwaIT,22,20,18,6,Above-7,L
M,Egypt,KuwaIT,12,20,38,46,Above-7,M
M,KW,KuwaIT,70,92,83,85,Under-7,H
F,KW,KuwaIT,50,40,52,66,Under-7,M
F,KW,KuwaIT,80,94,62,77,Under-7,H
F,KW,KuwaIT,87,48,82,96,Above-7,M
F,KW,KuwaIT,70,40,2,16,Above-7,L
M,KW,KuwaIT,65,86,62,40,Above-7,M
M,KW,KuwaIT,15,6,32,40,Under-7,H
M,Egypt,Egypt,19,74,32,17,Above-7,L
F,KW,KuwaIT,69,76,82,94,Under-7,M
M,KW,KuwaIT,39,26,12,44,Above-7,L
M,KW,KuwaIT,59,97,42,70,Under-7,H
M,KW,KuwaIT,10,17,12,40,Under-7,H
F,KW,KuwaIT,80,87,72,60,Under-7,H
F,KW,KuwaIT,70,99,66,65,Under-7,M
F,KW,KuwaIT,80,97,86,95,Under-7,M
M,KW,KuwaIT,69,34,12,17,Above-7,L
M,KW,KuwaIT,10,17,12,14,Above-7,L
M,KW,KuwaIT,61,97,82,64,Above-7,M
F,KW,KuwaIT,21,27,52,34,Above-7,M
M,Egypt,Egypt,49,94,42,7,Above-7,M
F,Jordan,Jordan,70,64,42,32,Under-7,M
F,Jordan,Jordan,79,84,82,37,Under-7,H
M,Jordan,Jordan,19,80,12,17,Above-7,M
M,Jordan,Jordan,11,70,32,29,Above-7,M
M,Jordan,Jordan,10,8,10,10,Above-7,M
M,Jordan,Jordan,18,28,40,20,Above-7,M
F,Jordan,Jordan,90,84,52,30,Under-7,H
F,Jordan,Jordan,92,81,32,36,Under-7,M
M,Jordan,Jordan,42,21,2,16,Under-7,M
M,Jordan,Jordan,22,20,6,26,Under-7,H
F,lebanon,lebanon,95,82,82,70,Under-7,H
F,lebanon,lebanon,90,62,80,60,Under-7,H
M,Palestine,Jordan,72,21,22,26,Under-7,H
M,Palestine,Jordan,92,31,42,27,Under-7,H
M,Palestine,Jordan,82,31,52,25,Under-7,M
M,Palestine,Jordan,72,41,46,27,Under-7,M
M,Iraq,Iraq,74,71,56,37,Under-7,H
M,Iraq,Iraq,74,60,56,37,Under-7,H
F,Jordan,Jordan,95,94,72,80,Under-7,H
F,Jordan,Jordan,97,87,82,86,Under-7,H
M,Jordan,Jordan,40,38,32,36,Above-7,M
M,Jordan,Jordan,41,39,35,39,Above-7,M
F,Jordan,Jordan,51,79,85,89,Under-7,H
F,Jordan,Jordan,81,79,91,85,Under-7,H
M,Palestine,Jordan,71,70,65,69,Under-7,M
M,Palestine,Jordan,75,71,76,80,Under-7,M
F,Jordan,Jordan,49,36,32,44,Above-7,L
F,Jordan,Jordan,42,24,12,24,Above-7,L
F,Palestine,Palestine,90,86,82,74,Under-7,H
F,Palestine,Palestine,62,64,72,84,Under-7,H
M,Iraq,Iraq,90,86,82,74,Above-7,M
M,Iraq,Iraq,62,64,72,84,Above-7,M
F,Jordan,Jordan,98,87,86,84,Under-7,H
F,Jordan,Jordan,72,74,82,89,Under-7,H
M,Jordan,Jordan,18,17,26,34,Above-7,M
M,Jordan,Jordan,32,14,32,29,Above-7,M
M,Jordan,Jordan,10,12,20,13,Above-7,L
M,Jordan,Jordan,22,34,15,9,Above-7,L
F,Jordan,Jordan,11,20,21,23,Under-7,M
F,Jordan,Jordan,12,44,25,39,Under-7,M
F,Jordan,Jordan,15,50,24,43,Under-7,M
F,Jordan,Jordan,32,44,29,89,Under-7,M
M,Jordan,Jordan,65,59,74,83,Under-7,H
M,Jordan,Jordan,72,64,59,89,Under-7,H
M,Palestine,Jordan,95,57,74,89,Above-7,M
M,Palestine,Jordan,82,84,79,79,Above-7,M
M,Jordan,Jordan,25,29,34,33,Above-7,M
M,Jordan,Jordan,42,34,29,39,Above-7,M
F,Jordan,Jordan,55,79,44,43,Under-7,H
F,Jordan,Jordan,62,64,69,49,Under-7,H
F,Jordan,lebanon,78,88,74,83,Under-7,H
F,Jordan,lebanon,72,84,89,89,Under-7,H
M,Jordan,Jordan,60,92,83,23,Under-7,H
M,Jordan,Jordan,50,90,83,13,Under-7,H
F,Jordan,Jordan,60,97,13,3,Under-7,H
F,Jordan,Jordan,50,95,23,10,Under-7,H
F,Jordan,Jordan,60,87,23,11,Above-7,M
F,Jordan,Jordan,50,80,20,15,Above-7,M
M,Jordan,Jordan,10,15,10,21,Above-7,L
M,Jordan,Jordan,30,10,20,5,Above-7,L
M,Syria,Syria,24,35,18,31,Under-7,M
M,Syria,Syria,27,20,33,35,Under-7,M
M,Jordan,Jordan,10,15,10,21,Above-7,L
M,Jordan,Jordan,30,10,20,5,Above-7,L
F,Jordan,Palestine,80,77,63,83,Under-7,M
F,Jordan,Palestine,75,85,73,80,Under-7,M
M,Jordan,Jordan,40,7,50,41,Above-7,L
M,Jordan,Jordan,35,2,29,33,Above-7,L
F,Jordan,Jordan,10,90,30,21,Under-7,M
F,Jordan,Jordan,25,80,29,23,Under-7,M
M,Lybia,Lybia,10,8,9,3,Above-7,L
M,Lybia,Lybia,15,7,12,7,Above-7,L
F,Palestine,Jordan,70,90,20,21,Under-7,M
F,Palestine,Jordan,75,80,15,20,Under-7,M
F,Palestine,Jordan,78,98,10,11,Under-7,M
F,Palestine,Jordan,79,89,11,14,Under-7,M
F,Iraq,Iraq,16,90,15,11,Under-7,M
F,Iraq,Iraq,17,80,13,10,Under-7,M
M,Jordan,Jordan,40,87,50,41,Under-7,M
M,Jordan,Jordan,35,92,29,33,Under-7,M
F,Jordan,Jordan,14,97,15,14,Under-7,H
F,Jordan,Jordan,13,82,20,30,Under-7,H
F,Jordan,Jordan,24,97,15,14,Under-7,H
F,Jordan,Jordan,23,82,20,30,Under-7,H
M,Lybia,Lybia,20,3,9,3,Above-7,L
M,Lybia,Lybia,15,4,12,7,Above-7,L
M,Egypt,Egypt,5,13,6,6,Above-7,L
M,Egypt,Egypt,7,9,11,10,Above-7,L
F,Jordan,Jordan,10,94,40,11,Under-7,M
F,Jordan,Jordan,25,89,21,13,Under-7,M
M,Jordan,Jordan,30,98,42,21,Under-7,H
M,Jordan,Jordan,35,97,41,23,Under-7,H
M,Jordan,Jordan,32,88,32,25,Under-7,M
M,Jordan,Jordan,25,87,21,27,Under-7,M
F,lebanon,lebanon,72,98,52,15,Under-7,H
F,lebanon,lebanon,75,90,51,17,Under-7,H
M,Jordan,Jordan,20,88,31,28,Above-7,M
M,Jordan,Jordan,10,98,41,38,Above-7,M
M,Palestine,Jordan,90,98,41,38,Under-7,H
M,Palestine,Jordan,80,88,51,39,Under-7,H
M,Iraq,Iraq,80,95,21,28,Under-7,H
M,Iraq,Iraq,78,70,31,29,Under-7,H
M,Jordan,Jordan,10,18,71,38,Above-7,M
M,Jordan,Jordan,10,58,51,48,Above-7,M
F,Palestine,Jordan,98,88,60,31,Under-7,H
F,Palestine,Jordan,75,81,51,34,Under-7,H
M,Jordan,Jordan,10,17,50,21,Under-7,M
M,Jordan,Jordan,35,2,29,23,Under-7,M
F,Jordan,Jordan,10,20,22,97,Above-7,L
F,Jordan,Jordan,5,9,19,98,Above-7,L
M,Jordan,Jordan,10,10,40,51,Above-7,L
M,Jordan,Jordan,35,2,29,23,Above-7,L
M,Jordan,Jordan,20,90,50,61,Above-7,M
M,Jordan,Jordan,32,82,59,63,Above-7,M
M,Jordan,Jordan,10,30,50,91,Above-7,L
M,Jordan,Jordan,12,22,59,83,Above-7,L
F,Jordan,Jordan,11,20,20,98,Above-7,L
F,Jordan,Jordan,10,12,29,93,Above-7,L
M,Iraq,Iraq,69,82,20,28,Under-7,H
M,Iraq,Iraq,70,83,29,33,Under-7,H
F,Iraq,Iraq,89,92,40,28,Under-7,H
F,Iraq,Iraq,79,93,49,23,Under-7,H
M,Jordan,Jordan,15,90,21,97,Under-7,M
M,Jordan,Jordan,20,77,31,88,Under-7,M
M,Jordan,SaudiArabia,4,10,11,7,Above-7,L
M,Jordan,SaudiArabia,5,0,1,8,Above-7,L
F,Jordan,Jordan,88,81,50,10,Above-7,M
F,Jordan,Jordan,90,88,54,12,Above-7,M
F,Iraq,Iraq,86,98,50,20,Under-7,H
F,Iraq,Iraq,90,90,57,22,Under-7,H
M,Jordan,Palestine,78,91,50,40,Under-7,H
M,Jordan,Palestine,70,98,54,72,Under-7,H
M,Jordan,Jordan,80,80,46,61,Under-7,M
M,Jordan,Jordan,85,82,59,63,Under-7,M
M,Palestine,Palestine,88,90,86,81,Under-7,H
M,Palestine,Palestine,89,92,89,83,Under-7,H
M,Jordan,Jordan,39,71,40,26,Above-7,M
M,Jordan,Jordan,35,80,34,22,Above-7,M
M,Jordan,Jordan,76,81,80,86,Under-7,H
M,Jordan,Jordan,65,89,64,82,Under-7,H
F,Syria,Syria,96,95,70,70,Under-7,H
F,Syria,Syria,80,91,87,72,Under-7,H
M,Jordan,Jordan,2,9,10,1,Above-7,L
M,Jordan,Jordan,3,8,19,3,Above-7,L
M,Jordan,Jordan,50,79,10,31,Under-7,M
M,Jordan,Jordan,53,88,9,33,Under-7,M
F,Jordan,Jordan,70,89,12,21,Under-7,H
F,Jordan,Jordan,59,90,19,43,Under-7,H
M,Palestine,Jordan,78,80,66,51,Under-7,M
M,Palestine,Jordan,79,72,79,83,Under-7,M
F,Lybia,Lybia,10,9,2,1,Above-7,L
F,Lybia,Lybia,9,7,9,3,Above-7,L
M,Iraq,Iraq,98,90,86,71,Under-7,H
M,Iraq,Iraq,89,92,89,83,Under-7,H
M,Palestine,Jordan,88,90,76,81,Under-7,H
M,Palestine,Jordan,99,96,89,84,Under-7,H
F,Jordan,Jordan,82,89,22,31,Under-7,H
F,Jordan,Jordan,84,92,29,43,Under-7,H
F,Jordan,Jordan,70,69,46,45,Above-7,M
F,Jordan,Jordan,74,62,49,43,Above-7,M
F,Jordan,Jordan,90,79,76,79,Under-7,H
F,Jordan,Jordan,84,77,79,68,Under-7,H
M,Jordan,Jordan,80,80,62,11,Above-7,M
M,Jordan,Jordan,81,82,69,13,Above-7,M
M,Jordan,SaudiArabia,10,0,2,41,Above-7,L
M,Jordan,SaudiArabia,11,2,9,49,Above-7,L
M,Jordan,SaudiArabia,85,89,22,61,Under-7,H
M,Jordan,SaudiArabia,80,89,23,68,Under-7,H
M,Jordan,SaudiArabia,95,87,62,81,Under-7,M
M,Jordan,SaudiArabia,87,79,73,98,Under-7,M
M,Jordan,Jordan,85,87,72,10,Above-7,M
M,Jordan,Jordan,79,88,79,20,Above-7,M
M,Jordan,Jordan,80,81,71,30,Under-7,M
M,Jordan,Jordan,70,83,70,23,Under-7,M
M,Jordan,Jordan,80,82,76,19,Under-7,M
M,Jordan,Jordan,70,82,75,29,Under-7,M
M,Jordan,Jordan,89,87,86,15,Under-7,M
M,Jordan,Jordan,90,86,85,10,Under-7,M
M,Jordan,Jordan,69,77,76,75,Above-7,M
M,Jordan,Jordan,70,76,65,70,Above-7,M
M,Jordan,Jordan,75,72,64,39,Above-7,L
M,Jordan,Jordan,72,76,66,40,Above-7,L
M,Jordan,Jordan,77,82,74,79,Under-7,M
M,Jordan,Jordan,71,84,67,80,Under-7,M
M,Jordan,Jordan,87,92,74,89,Under-7,H
M,Jordan,Jordan,81,84,77,85,Under-7,H
F,Jordan,Jordan,15,97,22,10,Under-7,H
F,Jordan,Jordan,19,98,20,2,Under-7,H
F,Jordan,Jordan,25,82,52,20,Above-7,M
F,Jordan,Jordan,29,78,40,12,Above-7,M
F,Jordan,Jordan,45,87,57,80,Under-7,M
F,Jordan,Jordan,39,88,43,72,Under-7,M
F,Jordan,Jordan,85,90,52,30,Under-7,H
F,Jordan,Jordan,79,91,49,22,Under-7,H
M,Iraq,Iraq,90,91,80,81,Under-7,H
M,Iraq,Iraq,80,90,80,83,Under-7,H
M,Iraq,Iraq,80,83,82,71,Above-7,M
M,Iraq,Iraq,71,81,83,72,Above-7,M
M,Iraq,Iraq,72,87,72,89,Above-7,M
M,Iraq,Iraq,69,77,83,92,Above-7,M
F,Jordan,Jordan,85,99,42,90,Under-7,H
F,Jordan,Jordan,89,96,45,92,Under-7,H
F,Jordan,Jordan,80,82,64,58,Under-7,H
F,Jordan,Jordan,87,93,63,60,Under-7,H
F,Jordan,Jordan,15,9,14,80,Above-7,L
F,Jordan,Jordan,9,6,15,85,Above-7,L
M,Palestine,Jordan,81,86,86,41,Under-7,M
M,Palestine,Jordan,78,82,78,53,Under-7,M
M,Palestine,Palestine,80,87,74,68,Under-7,M
M,Palestine,Palestine,85,88,79,70,Under-7,M
F,Jordan,Jordan,2,7,4,8,Above-7,L
F,Jordan,Jordan,5,4,5,8,Above-7,L
F,Jordan,Jordan,50,77,14,28,Under-7,M
F,Jordan,Jordan,55,74,25,29,Under-7,M
F,Jordan,Jordan,30,17,14,57,Above-7,L
F,Jordan,Jordan,35,14,23,62,Above-7,L
